id,change_area_fraction,change_ssim,change_rmse,localization_iou,background_ssim,composite_score,error
predictions\99\107,0.18015576774691358,0.643109408664196,88.1984897213936,0.0689379212178002,0.8674030583579874,0.5067048420955118,
predictions\99\69,0.14144627700617285,0.5845124756697846,79.06544188427604,0.24510477638660771,0.8582313672394515,0.5448333932045395,
predictions\99\96,0.0812668788580247,0.5888757257918696,89.09502801310123,0.10802947939290132,0.862001984837107,0.49793719222698196,
predictions\98\10,0.0979345100308642,0.5226303919944784,78.899683153401,0.16961433188386432,0.7233952887897191,0.4804321256476446,
predictions\98\104,0.0982884837962963,0.4462119885182769,97.61059754508985,0.14920814807990582,0.7219474144252189,0.4326714211612379,
predictions\98\112,0.10934413580246914,0.5094608160351993,77.61705035022291,0.17402766464023134,0.7197283327725618,0.47760271699852996,
predictions\98\26,0.13672212577160495,0.4128938469366229,92.56887864408685,0.17856211749897838,0.716369664179158,0.4329338892305916,
predictions\84\32,0.4477758487654321,0.4997959856164689,130.7077289902496,0.21810374101413943,0.7606118810773448,0.4519356335569021,
predictions\84\80,0.10530381944444445,0.4968260694251163,68.53294623544981,0.23178528401767767,0.7519418415813253,0.5024646553605479,
predictions\79\19,0.09232204861111111,0.10055659882673085,97.12786996436654,0.2880042104059578,0.7853186154338285,0.36321514348553774,
predictions\69\90,0.3796850887345679,0.5320810479198098,87.17336095729927,0.3015724262477898,0.609320094417168,0.49972684531292455,
predictions\68\9,0.08258535879629629,0.3037767781454706,83.19444954990124,0.1521666655700095,0.6777416174325376,0.388382565970209,
predictions\6\86,0.16303867669753086,0.364086931491644,96.8588099593995,0.33462650977494285,0.852369878300055,0.479706166613763,
predictions\54\114,0.42911072530864197,0.31726224855681423,147.3878004257174,0.3742143980949951,0.7442233318603448,0.4193413313587353,
predictions\50\121,0.10680555555555556,0.1908597336446837,109.37981948704982,0.32039666234347564,0.8935790735496557,0.41116867279579716,
predictions\49\118,0.07387393904320988,0.41521213582518196,79.49069067188684,0.13503259411746357,0.7023703388443765,0.4288439368580529,
predictions\49\28,0.1391015625,0.3494366224580858,82.82593078122476,0.23202612900745057,0.6970527383937528,0.43150705298341263,
predictions\49\45,0.07611062885802469,0.30504019532903437,95.98013117992586,0.10330663574952383,0.6820252687725706,0.3647813151471394,
predictions\47\0,0.08283516589506174,0.31816965389039165,67.04174260932794,0.20143210867964934,0.7751994778585986,0.43548717423504485,
predictions\47\108,0.08292293595679012,0.3122363363435888,68.9445882787036,0.20566443107919138,0.792177154726247,0.4357344333676928,
predictions\43\40,0.0678660300925926,0.16242527427184325,81.18644585096646,0.16097084791323893,0.7351456981769945,0.3517363112909864,
predictions\43\53,0.059595389660493825,0.22318048926736828,101.8952902225119,0.14616829360697098,0.7697105297348161,0.35750236410156955,
predictions\43\84,0.059595389660493825,0.204929805546685,99.90460945519307,0.1595425818159064,0.7609365198943364,0.3553721280348166,
predictions\43\97,0.06707899305555555,0.17678364950604336,101.46394683117873,0.1559378203752712,0.7361078755948879,0.33949223863682876,
predictions\37\127,0.03964265046296296,0.2521137077233836,99.62204340904438,0.07193152030187978,0.7463378970004649,0.3436350023367243,
predictions\37\35,0.039400077160493825,0.2742865501248788,101.70383461561416,0.0780930886543607,0.74060191400941,0.35075079281741617,
predictions\34\48,0.5733627507716049,0.2695956751176128,191.92304997966994,0.20957180064093464,0.8265509217047152,0.3306847824021561,
predictions\33\12,0.12768132716049382,0.7045457086989079,67.44315683587563,0.12107395586078701,0.7800542126114036,0.5470247230977991,
predictions\33\29,0.1263233024691358,0.7143450971946307,56.648401291590716,0.06733883733956796,0.7632036376091866,0.540272862201298,
predictions\33\49,0.1271508487654321,0.7102734891607644,60.10441534856679,0.06703303241579628,0.767372309113085,0.5366707593775246,
predictions\33\81,0.12464072145061729,0.7108832105552596,69.38691218594298,0.06018139077059347,0.7645669660163547,0.527127478231154,
predictions\33\99,0.1249633487654321,0.7231795066147392,77.08629140605133,0.10847541526891975,0.7906512235046786,0.5437932990246335,
predictions\286\67,0.033036747685185185,0.17814693092119124,98.97431019847669,0.10413852565023711,0.755223136046186,0.3292495439648264,
predictions\28\25,0.10864149305555555,0.6590477841736231,66.57809237417631,0.03520636053649259,0.7629140076596066,0.5034476221046362,
predictions\28\79,0.10912808641975309,0.7499844087572163,54.104036686802566,0.10272385029895918,0.7491374009064684,0.5632477697127993,
predictions\28\85,0.11659722222222223,0.6782775273759983,66.12542102453008,0.04464274592359147,0.7811622482769691,0.5161012202868652,
predictions\276\46,0.7761873070987654,0.5212052142770863,77.24139265764279,0.2533432778158088,0.8142424751431819,0.5199796951758332,
predictions\276\75,0.7759789737654321,0.5877457495267309,66.47920986696887,0.11211200006396349,0.7841816794508595,0.5048313075127668,
predictions\272\54,0.25077546296296294,0.6122574399836063,104.8515020462103,0.14029604490975794,0.7540951876146463,0.4872567234162804,
predictions\269\31,0.4968624614197531,0.469730783182872,134.05536664814318,0.6129352282163089,0.9123785955400382,0.5800016678721442,
predictions\269\94,0.32371913580246914,0.43320606010833956,130.2616340392879,0.3748173828499789,0.9267971885529298,0.5009209266940575,
predictions\268\100,0.3804243827160494,0.393186372859114,137.40566228943044,0.2544607009896447,0.806680179347951,0.42718632080610497,
predictions\267\44,0.30427854938271603,0.35461947377405834,85.14112226317478,0.2812016142571992,0.7812462889945029,0.45888689265260874,
predictions\266\56,0.07651765046296297,0.2880640550954512,87.93701772464449,0.17357539234909797,0.7581656256516675,0.3976496708557741,
predictions\26\109,0.19733603395061727,0.507642144635378,52.564066843667554,0.3279699740347059,0.7075324602056727,0.5409688927705725,
predictions\250\14,0.6063358410493828,0.6994718741740877,44.83605135677096,0.9139410802798487,0.900244236982727,0.8188685851163956,
predictions\250\15,0.6065258487654321,0.48209332089031504,139.51878556102037,0.3338146807578102,0.8894888856540581,0.4928739009078304,
predictions\249\70,0.27794367283950616,0.3904966661515459,77.8863600699716,0.368053308638945,0.8937017159861728,0.5200577419113002,
predictions\248\30,0.24855275848765432,0.29682373837339987,130.01970011913883,0.3236021523554066,0.812064373289334,0.4208023747431522,
predictions\247\36,0.3894429976851852,0.47316816259547123,138.30061272304346,0.23885162738580687,0.7844029182400672,0.44645371405778006,
predictions\247\74,0.32058786651234567,0.43145290055631996,105.61416738256598,0.4258628655288618,0.9051170248359637,0.5317002874943996,
predictions\242\20,0.09296875,0.44196329501905124,78.72779715065992,0.18053043311424016,0.7320543259429587,0.4569071401995133,
predictions\241\41,0.32849778163580245,0.3876882124320365,83.38494403746795,0.2621845575885797,0.8492318891157191,0.47633106888732657,
predictions\241\73,0.531027199074074,0.4844815607555381,69.42687700340375,0.32617163956826084,0.839612108278399,0.5389094018249871,
predictions\240\105,0.46784577546296297,0.5575473663978877,95.5160881499938,0.4187230194953702,0.7106292900786713,0.5524382986585008,
predictions\240\123,0.46793788580246914,0.5840064516274575,95.87171570684883,0.38738603511324693,0.7203623820437711,0.5534789233949743,
predictions\240\5,0.4680029899691358,0.5529463339842355,94.55327500199823,0.20711460144287883,0.6794206227838203,0.4834192593708029,
predictions\24\24,0.11500916280864197,0.23109797817566283,65.56591805641257,0.32679554871624755,0.7867973888761023,0.4455183158517617,
predictions\24\78,0.10818769290123456,0.4782054338122202,54.78021703127257,0.31231668790658496,0.7681913264240864,0.5333307310669066,
predictions\238\91,0.17615065586419754,0.6942301952799611,81.83448307835756,0.1323277072747236,0.7919001648985252,0.5372799969684312,
predictions\235\110,0.40662085262345676,0.3656296307512014,133.64328483933463,0.25725249135824796,0.767017850603557,0.4153805331418424,
predictions\235\7,0.40662085262345676,0.4093989512231312,138.170693986893,0.3972318733768513,0.7267696673909116,0.4631054732953621,
predictions\232\122,0.06275848765432099,0.39877566291047795,93.18058101814741,0.12628537739224008,0.759180718724033,0.41825139440326004,
predictions\23\119,0.6357609953703703,0.442981678697705,132.6009176194712,0.43005292944069895,0.8675193677615683,0.5101866518390956,
predictions\228\42,0.37667824074074074,0.385543522323314,147.54312778505425,0.30250240756947167,0.7526261647767476,0.4228647795769416,
predictions\228\60,0.3641372492283951,0.3308530531358499,158.269788035245,0.3236955985347429,0.7749478274751722,0.4050162551927795,
predictions\228\76,0.3623239776234568,0.30112869487634564,157.73672306282847,0.23210878781360053,0.7668112602792281,0.366334291680663,
predictions\226\71,0.47763310185185187,0.3254381275676237,131.69929755063362,0.5409013609994343,0.8438651287064959,0.49945995554809364,
predictions\222\66,0.318070987654321,0.2531292615504474,159.90748887447438,0.29758887194366834,0.7728478131281918,0.3683814367620648,
predictions\222\8,0.3149763695987654,0.2398180913570167,158.80592529385197,0.25181956286394014,0.8085495268040261,0.356210962957603,
predictions\21\103,0.4678679591049383,0.5601292262942085,91.09683913043112,0.2039237483681522,0.670561722113966,0.486358110751744,
